,lon,lat,mPET_v_11,Ta2_11,PET_v_11,WBGT_11,mPET_v_12,Ta2_12,PET_v_12,WBGT_12,mPET_v_13,Ta2_13,PET_v_13,WBGT_13,mPET_v_14,Ta2_14,PET_v_14,WBGT_14
25.001198_121.492065,121.492065,25.001198,44.648709960937445,31.27771,44.50870996093747,31.98537747955322,42.2643752441405,31.553375,41.7843752441406,32.158423992156976,45.058257080078015,31.407257,45.008257080078025,31.98161563491821,43.50356591796871,32.192566,43.19556591796896,33.28038164901733
25.001251_121.512634,121.512634,25.001251,45.26347924804671,31.32248,45.123479248046735,32.02492063331604,42.27515771484363,31.574158,41.98515771484369,32.170797578811644,45.01072656249991,31.469727,44.92072656249993,32.01088546180725,43.41163110351561,32.24063,42.89163110351552,33.31918201255798
25.001343_121.53317,121.53317,25.001343,45.750284667968685,31.329285,46.27028466796858,32.082357608795164,42.17990869140615,31.568909,41.65290869140627,32.211397932052606,44.03590356445304,31.494904,43.92590356445306,32.04245456695556,43.52645288085934,32.245453,43.17645288085921,33.36538981628418
25.001404_121.55371,121.55371,25.001404,45.586222167968685,31.165222,45.586222167968685,32.03871553039551,41.82623315429681,31.395233,41.3762331542967,32.138347679138185,43.078958984374886,31.407959,42.76895898437495,32.02692967796325,43.472940917968685,32.05194,43.19294091796874,33.29634117889404
25.001472_121.57428,121.57428,25.001472,43.73678076171879,30.66278,43.543780761718594,31.812224159240724,40.964382568359376,30.873383,40.45438256835928,31.90163462257385,41.54728051757802,30.90628,41.157280517578094,31.83608279037476,42.57083276367189,31.484833,41.9758327636718,33.05680627822876
25.00151_121.59482,121.59482,25.00151,43.90447778320312,29.783478,43.57447778320299,32.181557857513425,40.80691064453111,29.99591,40.18691064453123,32.21085214042663,42.51001123046868,30.049011,42.08001123046889,32.2107000541687,43.01806665039056,30.587067,42.73806665039061,33.40981784629821
25.001556_121.61536,121.61536,25.001556,42.63327539062496,29.332275,42.13327539062486,31.8286552028656,41.45649316406233,29.505493,40.69649316406248,31.8561303100586,43.39572412109362,29.654724,43.10572412109368,31.846004583358766,44.60386376953117,30.122864,44.23386376953125,33.07689788055419
25.001617_121.635925,121.635925,25.001617,42.07552368164068,29.005524,41.56652368164053,31.70931774711609,41.58245996093743,29.12146,40.78245996093739,31.74518253517151,43.83206445312492,29.341064,43.38406445312511,31.721781330108644,44.63457055664047,29.75357,44.23457055664055,32.94339916801452
25.0196_121.43033,121.43033,25.0196,44.94755273437492,31.466553,44.95755273437492,32.09671049118042,42.61496362304674,31.843964,42.21496362304682,32.327193401336665,44.15584252929676,31.494843,44.19584252929676,31.93352356147766,43.450097412109486,32.406097,43.00709741210928,33.3134681148529
25.019669_121.4509,121.4509,25.019669,44.86369775390619,31.452698,44.923697753906175,32.07015249633789,42.70810815429672,31.817108,42.2681081542968,32.27010560798645,44.760051513671854,31.559052,44.87005151367183,31.97410151290893,43.2405678710936,32.369568,42.95056787109365,33.320934377670284
25.019753_121.471436,121.471436,25.019753,45.17520410156237,31.434204,45.29520410156235,32.055849693298335,42.6650161132811,31.804016,42.26501611328118,32.21697029495239,44.248954101562376,31.527954,44.27895410156237,31.97689630317688,43.27202416992171,32.331024,42.75202416992181,33.31379676055908
25.019821_121.492004,121.492004,25.019821,45.62667871093748,31.445679,45.566678710937495,32.066116479873656,42.64526147460922,31.774261,42.325261474609285,32.20213979339599,44.6100249023438,31.538025,44.509024902343576,31.999661823272703,43.58426171874997,32.34326,43.20426171874985,33.32928824996948
25.019875_121.51254,121.51254,25.019875,45.69291528320309,31.431915,45.92291528320305,32.076691015243526,42.45956811523424,31.688568,42.01956811523433,32.204016921997066,44.23224999999988,31.53125,44.31224999999986,32.01810945320129,43.55619531249997,32.325195,43.01619531249988,33.35098754119873
25.019943_121.53311,121.53311,25.019943,45.67863549804683,31.357635,45.64863549804684,32.066163515090935,42.59897412109388,31.560974,42.19197412109365,32.19505554008484,44.000847412109295,31.499847,43.82084741210933,32.02537565612793,43.73395043945305,32.24295,43.23395043945295,33.35462506866455
25.02002_121.55365,121.55365,25.02002,45.53760644531244,31.146606,45.667606445312416,31.997165700912475,42.44962426757812,31.308624,41.88962426757803,32.123588811874384,43.40269775390629,31.327698,43.1886977539061,31.98971050453186,43.842241455077975,31.991241,43.81224145507798,33.29335555839538
25.02008_121.57422,121.57422,25.02008,44.93161767578115,30.320618,45.31161767578107,32.2663572101593,42.1576760253905,30.436676,41.537676025390624,32.33211207199096,43.71765283203123,30.506653,43.3476528320311,32.24240028572083,43.96249047851548,31.12149,43.82249047851551,33.53532172203064
25.020142_121.59476,121.59476,25.020142,44.68926660156235,29.848267,44.4792666015624,32.16183939552307,41.69556909179675,29.96457,40.89556909179671,32.243856323242184,44.07992700195295,30.118927,43.68992700195303,32.19208881378174,44.0948610839843,30.613861,43.72486108398437,33.44120438957214
25.020187_121.615326,121.615326,25.020187,44.52925561523421,29.618256,44.319255615234255,32.060754545211786,41.56378930664047,29.70279,40.803789306640624,32.13462913894653,43.72859277343736,29.907593,43.32859277343744,32.083168062210085,44.126445556640505,30.425446,43.70644555664059,33.39045621109008
25.020248_121.635864,121.635864,25.020248,42.30482812499999,29.173828,41.86482812499988,31.74942302322388,41.90782617187489,29.246826,41.517826171874965,31.831852859497072,43.46404077148421,29.52304,42.9940407714843,31.77567649078369,44.286931396484334,29.985931,43.87693139648422,33.03148651123047
