,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,population_2011,population_2012,population_2013,population_2014,population_2015,人均用電量_2011,人均用電量_2012,人均用電量_2013,人均用電量_2014
52,信義區,松光里,26.0,,,,5065.0,5139.0,5177.0,5121.0,5121.0,0.005133267522211254,,,
53,信義區,中坡里,,,4051.0,,4684.0,4691.0,4731.0,4752.0,4752.0,,,0.8562671739589939,
54,信義區,中行里,,6720.0,8120.0,6470.0,8343.0,8390.0,8407.0,8496.0,8496.0,,0.8009535160905841,0.9658617818484596,0.7615348399246704
55,信義區,大道里,,,,,6399.0,6385.0,6408.0,6433.0,6433.0,,,,
56,信義區,大仁里,18.0,,,,4273.0,4288.0,4260.0,4214.0,4214.0,0.004212497074654809,,,
57,信義區,嘉興里,1.0,,32160.0,,3311.0,3317.0,3339.0,3353.0,3353.0,0.0003020235578375113,,9.63162623539982,
58,信義區,黎順里,10.0,2040.0,15880.0,,4047.0,4116.0,4172.0,4260.0,4260.0,0.002470966147763776,0.4956268221574344,3.806327900287632,
59,信義區,長春里,,,,10080.0,4322.0,4274.0,4295.0,4344.0,4344.0,,,,2.320441988950276
60,信義區,四維里,,,,7366.0,5477.0,5485.0,5546.0,5580.0,5580.0,,,,1.3200716845878135
61,信義區,永春里,,,,19880.0,5194.0,5133.0,5133.0,5170.0,5170.0,,,,3.8452611218568666
62,信義區,新仁里,,23597.0,6709.0,57507.0,3674.0,3685.0,3682.0,3707.0,3707.0,,6.403527815468114,1.8221075502444324,15.513083355813325
63,信義區,興雅里,119.0,,2911.0,,6058.0,6111.0,6126.0,6056.0,6056.0,0.019643446682073292,,0.4751877244531505,
64,信義區,廣居里,,,11376.0,,8255.0,8380.0,8373.0,8447.0,8447.0,,,1.358652812611967,
65,信義區,安康里,444.0,7964.0,24432.0,12605.0,10611.0,10819.0,11003.0,11092.0,11092.0,0.041843370087644896,0.7361123948608929,2.220485322184859,1.1364046159394159
66,信義區,黎忠里,,16240.0,,15.0,4911.0,4952.0,4987.0,5073.0,5073.0,,3.2794830371567043,,0.0029568302779420462
67,信義區,六藝里,573.0,553.0,650.0,7834.0,3959.0,3991.0,3976.0,4018.0,4018.0,0.14473351856529426,0.13856176396893008,0.16348088531187122,1.9497262319561972
68,信義區,富台里,687.0,685.0,772.0,711.0,4536.0,4597.0,4557.0,4664.0,4664.0,0.15145502645502645,0.14901022405916903,0.1694096993636164,0.1524442538593482
69,信義區,黎平里,119.0,79.0,71.0,82.0,7313.0,7344.0,7457.0,7427.0,7427.0,0.016272391631341445,0.010757080610021787,0.009521255196459702,0.011040797091692473
70,信義區,敦厚里,1817.0,1673.0,365.0,7267.0,5340.0,5421.0,5477.0,5443.0,5443.0,0.34026217228464417,0.30861464674414313,0.06664232243929158,1.3351093147161492
71,信義區,松友里,993.0,17734.0,1282.0,2000.0,7113.0,7217.0,7251.0,7267.0,7267.0,0.13960354280894138,2.4572537065262576,0.17680319955868157,0.27521673317737716
72,信義區,雅祥里,2071813.0,1871258.0,2053050.0,1877711.0,5072.0,5065.0,5126.0,5202.0,5202.0,408.4804810725552,369.448766041461,400.5169722980882,360.95943867743176
73,信義區,五常里,1623909.0,1557558.0,1581316.0,1448961.0,3859.0,3899.0,3927.0,3946.0,3946.0,420.81083182171545,399.476275968197,402.67787114845936,367.1974151039027
74,大安區,仁愛里,40.0,4230064.0,4415777.0,4260135.0,5711.0,5653.0,5595.0,5603.0,5603.0,0.007004027315706532,748.2865735007961,789.2362823949956,760.3310726396574
75,大安區,德安里,6706.0,2944144.0,3104268.0,2965971.0,6109.0,6073.0,6028.0,6041.0,6041.0,1.097724668521853,484.7923596245678,514.9747843397479,490.9735143188214
76,大安區,群英里,,2416874.0,2611883.0,2510505.0,7573.0,7455.0,7533.0,7429.0,7429.0,,324.19503688799466,346.7254745785212,337.9331000134608
77,大安區,仁慈里,10210.0,2490277.0,2658568.0,2596866.0,5876.0,5825.0,5845.0,5839.0,5839.0,1.7375765827093261,427.51536480686696,454.8448246364414,444.7449905805789
78,大安區,群賢里,,2289910.0,2393708.0,2368316.0,6317.0,6224.0,6180.0,6191.0,6191.0,,367.91613110539845,387.3313915857605,382.54175415926346
79,大安區,龍雲里,,1858217.0,1933390.0,1866659.0,5209.0,5238.0,5164.0,5132.0,5132.0,,354.7569683085147,374.3977536793184,363.72934528448945
80,大安區,住安里,,1749298.0,1904431.0,1816067.0,5582.0,5607.0,5574.0,5533.0,5533.0,,311.98466202960583,341.6632579834948,328.22465208747514
81,大安區,大學里,3134110.0,2955735.0,3388903.0,3244313.0,8791.0,8833.0,8961.0,8954.0,8954.0,356.51347969514273,334.62413675987773,378.1835732619127,362.331136922046
82,大安區,龍坡里,1268874.0,1250089.0,1300836.0,1257662.0,6475.0,6381.0,6279.0,6225.0,6225.0,195.96509652509653,195.9080081491929,207.17247969421882,202.0340562248996
83,大安區,正聲里,2651396.0,2559830.0,2663343.0,2726578.0,5232.0,5207.0,5157.0,5201.0,5201.0,506.7652905198777,491.6132129825235,516.4520069808028,524.2411074793309
84,大安區,黎孝里,2973702.0,2913306.0,3137535.0,3047715.0,7712.0,7799.0,7810.0,7897.0,7897.0,385.5941390041494,373.54866008462625,401.7330345710627,385.9332657971382
85,大安區,民炤里,4022871.0,3945678.0,4307709.0,4271787.0,8490.0,8404.0,8472.0,8467.0,8467.0,473.83639575971733,469.5,508.46423512747873,504.52190858627614
86,大安區,光信里,2140126.0,2131010.0,2300791.0,2305753.0,8269.0,8265.0,8296.0,8313.0,8313.0,258.8131575764905,257.83545069570476,277.33739151398265,277.36713581137974
87,大安區,芳和里,2108007.0,2076331.0,2221072.0,2205843.0,6129.0,6114.0,6114.0,6033.0,6033.0,343.9397944199706,339.6027150801439,363.27641478573764,365.6295375435107
88,大安區,虎嘯里,1977005.0,2084186.0,2194200.0,2266021.0,3759.0,3767.0,3791.0,3813.0,3813.0,525.9390795424315,553.2747544465092,578.7918754945924,594.2882244951481
89,大安區,黎元里,1337448.0,1292800.0,1423541.0,1406527.0,5676.0,5649.0,5751.0,5734.0,5734.0,235.63213530655392,228.85466454239688,247.52929925230396,245.295953958842
90,大安區,和安里,2711114.0,2597398.0,2753549.0,2675978.0,7511.0,7448.0,7511.0,7505.0,7505.0,360.9524697110904,348.7376476906552,366.60218346425245,356.5593604263824
91,大安區,黎和里,1834106.0,1786560.0,1943167.0,1780088.0,4886.0,4930.0,4981.0,5011.0,5011.0,375.3798608268522,362.38539553752537,390.1158401927324,355.2360806226302
92,大安區,學府里,374869.0,391041.0,441952.0,403521.0,3171.0,3155.0,2978.0,2961.0,2961.0,118.21791233049511,123.943264659271,148.40564137004702,136.27862208713273
93,大安區,華聲里,2366718.0,2363300.0,2403913.0,2398910.0,4577.0,4556.0,4556.0,4518.0,4518.0,517.0893598426917,518.7225636523266,527.6367427568042,530.967242142541
94,大安區,錦泰里,195400.0,56726.0,21861.0,,4774.0,4218.0,4080.0,3818.0,3818.0,40.93003770423125,13.44855381697487,5.358088235294118,
95,大安區,龍安里,2475974.0,2424418.0,2609205.0,2594558.0,8074.0,8129.0,8144.0,8404.0,8404.0,306.6601436710429,298.24308032968383,320.3837180746562,308.72893860066637
96,大安區,古風里,588203.0,574710.0,630593.0,622145.0,4438.0,4452.0,4416.0,4423.0,4423.0,132.5378548895899,129.09029649595686,142.79732789855072,140.6613158489713
97,大安區,永康里,1619702.0,1558546.0,1665100.0,1709939.0,4027.0,4099.0,4100.0,4046.0,4046.0,402.21057859448723,380.22590875823374,406.1219512195122,422.62456747404843
98,大安區,古莊里,43640.0,43427.0,57292.0,35128.0,7267.0,7313.0,7298.0,7374.0,7374.0,6.00522911793037,5.938329003145084,7.850369964373801,4.763764578247898
99,大安區,車層里,8010.0,42532.0,80380.0,40728.0,6729.0,6703.0,6685.0,6716.0,6716.0,1.1903700401248327,6.345218558854245,12.023934181002243,6.064324002382371
100,大安區,誠安里,949468.0,951239.0,990854.0,984035.0,4309.0,4368.0,4327.0,4366.0,4366.0,220.3453237410072,217.77449633699635,228.99329789692626,225.38593678424186
101,大安區,光武里,3610.0,18004.0,7234.0,50596.0,8239.0,8249.0,8202.0,8155.0,8155.0,0.43815997087025127,2.1825675839495697,0.8819800048768593,6.204291845493562
102,大安區,民輝里,129389.0,104804.0,125208.0,112358.0,7013.0,7043.0,7005.0,7125.0,7125.0,18.449878796520746,14.880590657390316,17.87408993576017,15.769543859649122
103,大安區,建倫里,,3684.0,3552.0,16436.0,6508.0,6459.0,6470.0,6497.0,6497.0,,0.5703669298653042,0.5489953632148377,2.529782976758504
104,大安區,龍生里,,4031.0,3860.0,3341.0,7155.0,7263.0,7236.0,7295.0,7295.0,,0.5550048189453394,0.5334438916528469,0.45798492117888967
105,大安區,臥龍里,56.0,2645.0,6692.0,47597.0,1961.0,1996.0,1990.0,1987.0,1987.0,0.02855685874553799,1.3251503006012024,3.362814070351759,23.954202315047812
106,大安區,龍陣里,,,,6865.0,3659.0,3675.0,3672.0,3700.0,3700.0,,,,1.8554054054054054
107,大安區,通化里,3508.0,3693.0,4092.0,29912.0,6358.0,6410.0,6440.0,6477.0,6477.0,0.5517458320226486,0.5761310452418097,0.6354037267080745,4.618187432453296
108,大安區,全安里,194.0,3757.0,7561.0,42994.0,4681.0,4660.0,4649.0,4590.0,4590.0,0.04144413586840419,0.8062231759656653,1.6263712626371263,9.366884531590413
109,大安區,義安里,,,24820.0,6760.0,5670.0,5695.0,5707.0,5679.0,5679.0,,,4.349045032416331,1.1903504138052474
110,大安區,通安里,,21833.0,3557.0,12086.0,5824.0,5871.0,5915.0,5901.0,5901.0,,3.7187872594106626,0.601352493660186,2.0481274360277917
111,大安區,臨江里,,,,,4346.0,4314.0,4307.0,4323.0,4323.0,,,,
112,大安區,法治里,77.0,7283.0,,28.0,4627.0,4599.0,4606.0,4613.0,4613.0,0.01664145234493192,1.583605131550337,,0.006069802731411229
113,大安區,錦華里,1121.0,9032.0,1027.0,1.0,5879.0,5957.0,6037.0,6088.0,6088.0,0.19067868685150535,1.5161994292429075,0.17011760808348517,0.000164257555847569
114,大安區,龍圖里,219.0,13160.0,853.0,,7054.0,7049.0,7102.0,7116.0,7116.0,0.03104621491352424,1.8669314796425025,0.120107012109265,
115,大安區,新龍里,,,,,7249.0,7268.0,7341.0,7329.0,7329.0,,,,
116,大安區,昌隆里,,1494.0,,,3191.0,3172.0,3168.0,3165.0,3165.0,,0.47099621689785626,,
117,大安區,義村里,40.0,40.0,5609.0,,6199.0,6183.0,6163.0,6179.0,6179.0,0.006452653653815131,0.006469351447517387,0.9101087132889827,
118,大安區,龍泉里,67.0,,,3518.0,5010.0,5031.0,5091.0,5183.0,5183.0,0.013373253493013972,,,0.6787574763650396
119,大安區,龍淵里,,,,,10141.0,10288.0,10400.0,10363.0,10363.0,,,,
120,大安區,龍門里,,,,,4709.0,4675.0,4666.0,4676.0,4676.0,,,,
121,大安區,敦安里,,,,11282.0,6716.0,6718.0,6668.0,6707.0,6707.0,,,,1.6821231549127778
122,大安區,敦煌里,,10840.0,,1298.0,6388.0,6437.0,6400.0,6502.0,6502.0,,1.684014292372223,,0.19963088280529068
123,大安區,建安里,123.0,4720.0,33010.0,9825.0,5289.0,5296.0,5303.0,5234.0,5234.0,0.023255813953488372,0.8912386706948641,6.224778427305299,1.877149407718762
124,大安區,福住里,433.0,761.0,806.0,502.0,6748.0,6842.0,6814.0,6873.0,6873.0,0.06416716064018968,0.11122478807366268,0.11828588200763135,0.07303942965226248
125,大安區,光明里,1523342.0,1354848.0,1461151.0,1506729.0,4136.0,3915.0,3890.0,3852.0,3852.0,368.31286266924565,346.06590038314175,375.6172236503856,391.154984423676
126,大安區,錦安里,888432.0,831351.0,922250.0,901070.0,6423.0,6496.0,6495.0,6537.0,6537.0,138.3204110228865,127.97891009852216,141.9938414164742,137.84151751567998
