,lon,lat,mPET_v_11,Ta2_11,PET_v_11,WBGT_11,mPET_v_12,Ta2_12,PET_v_12,WBGT_12,mPET_v_13,Ta2_13,PET_v_13,WBGT_13,mPET_v_14,Ta2_14,PET_v_14,WBGT_14
25.001122_121.47153,121.47153,25.001122,11.401644042968762,13.022644,9.978644042968725,16.054793453216554,14.741668457031263,15.422668,13.501668457031268,18.22336258888245,17.830468994140656,16.549469,16.338468994140605,18.59917221546173,19.722072998046997,16.881073,17.772072998047,17.921442642211915
25.001198_121.492065,121.492065,25.001198,11.20103491210939,12.992035,9.841034912109375,16.05571827888489,15.288238281250004,15.469238,13.94823828125001,18.260780626296995,18.28626733398448,16.555267,16.696267333984384,18.60318809890747,19.836069580078256,16.91507,17.86606958007826,17.932235991477967
25.001251_121.512634,121.512634,25.001251,11.159802001953144,13.040802,9.819802001953128,16.09893778705597,15.509599365234331,15.520599,14.15959936523438,18.30292232990265,18.479735351562628,16.578735,16.879735351562534,18.62275839710236,20.032717773437447,16.985718,18.046717773437464,17.986010228157042
25.001343_121.53317,121.53317,25.001343,11.367662109375017,13.128662,9.997662109375002,16.158192155838012,15.75837426757812,15.527374,14.356374267578127,18.305580474853517,18.852156005859403,16.591156,17.192156005859456,18.653203795433047,20.057928466796795,17.032928,18.07392846679681,18.051946164131166
25.001404_121.55371,121.55371,25.001404,11.503685058593762,13.114685,10.102685058593709,16.161082973480227,15.725245605468745,15.414246,14.293245605468751,18.2504289560318,19.066065917968825,16.505066,17.376065917968873,18.62978750705719,20.0330166015625,16.942017,18.0330166015625,18.02245613861084
25.001472_121.57428,121.57428,25.001472,11.299174560546884,12.710175,9.839174560546892,15.941178575515746,15.52980126953124,14.958801,14.017801269531269,17.996736020088196,19.35334252929689,16.182343,17.523342529296915,18.5088156375885,20.13877832031257,16.597778,18.098778320312565,17.873196917533875
25.00151_121.59482,121.59482,25.00151,12.094472412109376,12.265472,10.394472412109392,15.804876037597657,16.868299804687528,14.6073,15.198299804687489,17.94798794269562,20.614397216796995,15.763397,18.664397216797003,18.49227355480194,21.238076416015637,16.097076,18.998076416015756,17.924236225128173
25.001556_121.61536,121.61536,25.001556,12.517685791015614,11.946686,10.68568579101563,15.5723597240448,16.93175195312509,14.270752,15.23175195312498,17.692402780532838,21.3173610839845,15.426361,19.347361083984502,18.227771785736085,21.839602539062447,15.792603,19.5236025390626,17.657217785835268
25.001617_121.635925,121.635925,25.001617,12.49903833007811,11.708038,10.617038330078126,15.402095573425292,16.475199218750053,14.054199,14.795199218749984,17.524318277359008,21.31910058593751,15.178101,19.409100585937523,18.06202206611633,22.43863793945325,15.547638,20.128637939453203,17.491182149887084
25.0196_121.43033,121.43033,25.0196,11.220278076171892,13.091278,9.870278076171878,16.05492938899994,15.083558105468756,15.484558,13.783558105468764,18.218000253677367,18.718972412109384,16.577972,17.108972412109445,18.613593859672548,19.957070800781228,16.88507,17.97607080078125,17.916506230354308
25.019669_121.4509,121.4509,25.019669,11.35240454101564,13.083405,9.962404541015626,16.068426347732544,15.264402832031251,15.475403,13.93440283203126,18.22600833415985,18.54944116210952,16.558441,16.949441162109423,18.60175356197357,20.24102441406254,16.900024,18.24102441406254,17.934042201042175
