,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,用電量_2015
264,文山區,木新里,1884901,1940770,1795105,1891938,1869236
265,文山區,試院里,1720604,--,1550350,1623966,1538559
266,文山區,明義里,962431,786916,887228,912270,863864
267,文山區,明興里,1456884,1422536,1396227,,1387252
268,文山區,樟林里,1701878,1758071,1034935,1146763,1057166
269,文山區,順興里,1430223,1382940,1390197,1399254,1403938
270,文山區,興家里,1508523,1491843,1412423,1461032,1442952
271,文山區,老泉里,138892,164520,164877,188366,171899
272,文山區,萬芳里,1965721,1947424,1830469,1896919,1910459
273,文山區,忠順里,952885,922332,913008,924694,996454
274,文山區,萬美里,1741542,1725116,1664548,1731182,1757590
275,文山區,興昌里,160302,159552,143008,149421,139657
276,文山區,政大里,1545930,2107914,2125437,2180140,2209229
277,文山區,樟文里,1235950,1234602,1121289,1254777,1142469
278,文山區,興邦里,--,8880,--,--,--
279,文山區,樟樹里,946565,930227,920153,924567,911971
280,文山區,興業里,--,--,--,--,--
281,文山區,興安里,--,--,--,--,--
282,文山區,興福里,--,--,--,--,--
283,文山區,興旺里,--,--,--,--,--
284,文山區,興泰里,--,--,--,6094,--
285,文山區,景行里,--,--,6960,6876,--
286,文山區,景東里,--,--,--,--,--
287,文山區,景美里,--,--,2600,1040,69
288,文山區,景慶里,--,297,312,254,1956
289,文山區,景仁里,--,--,--,--,--
290,文山區,景華里,--,--,8120,9840,--
291,文山區,萬有里,--,--,--,--,2440
292,文山區,萬祥里,--,75,--,--,--
293,文山區,萬隆里,--,--,--,11200,1893
294,文山區,萬年里,--,--,--,--,--
295,文山區,萬和里,--,--,--,--,2495
296,文山區,萬盛里,--,--,18840,21960,--
297,文山區,興豐里,--,--,5160,5680,--
298,文山區,興光里,285542,265629,263977,285464,337249
299,文山區,指南里,889398,1006642,921139,1004948,1057054
300,文山區,興得里,219321,--,186110,188525,189446
301,文山區,華興里,2379417,468169,2175689,2259047,2213456
302,文山區,博嘉里,1345881,1397660,1370622,1420782,1369636
303,文山區,木柵里,2099793,2175503,2106143,2165771,2107433
304,南港區,東新里,1332735,1326501,1227864,1355260,1276246
305,南港區,仁福里,--,1185466,1139138,1154279,1084211
306,南港區,南港里,1164596,1213608,1252260,1275963,1508665
307,南港區,新富里,51426,49020,51016,56678,43996
308,南港區,中南里,22292,28002,31699,30925,23292
309,南港區,舊莊里,--,705,2704,3288,78
310,南港區,中研里,--,--,871,--,--
311,南港區,九如里,--,--,--,--,--
312,南港區,重陽里,1314128,1382604,1331960,1383298,1491863
313,南港區,東明里,1165552,1186480,1119957,1258696,1044966
314,南港區,新光里,2729,1164,7961,7322,451
315,南港區,玉成里,1055346,1169,1041864,1039198,1104698
316,南港區,聯成里,1072123,1059164,1048780,1075555,1007382
317,南港區,百福里,1087814,1035750,992491,1001474,1006608
318,南港區,成福里,1133526,1157879,1123904,1144118,1341043
319,南港區,合成里,1755884,1718444,1578008,,1467224
320,南港區,鴻福里,1081142,1054148,868069,907685,904292
321,南港區,西新里,1093603,484727,912585,965174,929965
322,南港區,萬福里,1075014,1066865,926775,946645,937230
323,南港區,三重里,1168625,1314838,1439707,1680651,1837920
324,內湖區,西湖里,432070,1972240,2097813,2255635,2076983
325,內湖區,西康里,1837232,2919784,2900634,3001602,2740854
326,內湖區,瑞光里,945580,931514,912011,912220,921317
327,內湖區,港華里,1806948,1772842,1750585,1769175,1781525
328,內湖區,金湖里,248,156,243,293,259
329,內湖區,康寧里,--,172,--,--,--
330,內湖區,明湖里,--,--,--,--,--
331,內湖區,蘆洲里,--,--,--,--,--
332,內湖區,安湖里,--,--,--,--,5960
333,內湖區,秀湖里,--,13000,--,--,--
334,內湖區,安泰里,--,--,--,37,--
335,內湖區,寶湖里,103152,99102,98705,103962,97908
336,內湖區,南湖里,--,--,179,5685,171
337,內湖區,五分里,--,53,--,14720,--
338,內湖區,東湖里,--,--,5640,6858,1138
339,內湖區,樂康里,--,--,3882,3146,--
340,內湖區,內溝里,--,--,--,--,--
341,內湖區,紫星里,--,--,1342,3637,2036
342,內湖區,大湖里,--,--,3715,13207,8480
343,內湖區,碧山里,--,3661,120,3649,2673
344,內湖區,紫雲里,--,--,--,1848,1356
345,內湖區,清白里,--,--,--,4120,26440
346,內湖區,葫洲里,254,--,80,88,--
347,內湖區,金龍里,98608,96574,108170,114610,219346
348,內湖區,西安里,1471211,1453617,1463919,,1456592
349,內湖區,湖元里,1672724,1922709,1941438,2424178,2599613
350,內湖區,湖濱里,2198494,2192777,2172718,2227548,2131541
351,內湖區,港都里,1168900,1232608,1163671,1236082,1233652
352,內湖區,港墘里,1572866,1892524,1799099,1917831,1924432
353,內湖區,行善里,1473651,905,1396478,1438059,1387403
354,內湖區,紫陽里,1880900,1927456,1800535,1885953,1799271
355,內湖區,金瑞里,591136,594515,605738,620512,456494
356,內湖區,麗山里,1316159,1300233,1270272,1326227,1454066
357,內湖區,港富里,2175653,2114116,2130672,2148471,1978425
358,內湖區,瑞陽里,1838560,1845707,1750432,1826339,1693941
359,內湖區,石潭里,602811,219146,793444,917298,1055563
360,內湖區,內湖里,1524104,1530597,1481017,1534445,1246446
361,內湖區,湖興里,1642404,1764869,1564508,1712325,1374437
362,內湖區,週美里,1609019,265449,1852991,2000368,1993775
363,士林區,福德里,1333259,1361166,1488460,1518752,1519852
364,士林區,福安里,761608,820925,751589,821819,782465
365,士林區,永福里,299204,344247,311505,309333,323031
366,士林區,芝山里,131755,130825,128259,128816,133864
367,士林區,福順里,1120324,1135572,1058496,1068614,1094904
368,士林區,承德里,1458865,1487675,1400745,1482197,1685553
369,士林區,天母里,--,504,391,629,3415
370,士林區,天山里,--,--,--,4554,--
371,士林區,天玉里,--,--,9760,26710,12720
372,士林區,德行里,--,5334,11011,32021,18581
373,士林區,德華里,--,397,6414,8145,5241
374,士林區,聖山里,--,--,--,--,--
375,士林區,忠誠里,--,--,--,2367,10334
376,士林區,公館里,--,40,40,40,40
377,士林區,新安里,--,--,--,6760,--
378,士林區,平等里,--,--,40,40,40
379,士林區,東山里,--,1,--,--,--
380,士林區,三玉里,--,--,10570,9484,--
381,士林區,蘭雅里,--,--,--,--,7712
382,士林區,蘭興里,--,--,--,15032,16253
383,士林區,天福里,--,--,1090,879,--
384,士林區,天祿里,--,24,--,2360,1680
385,士林區,天壽里,--,--,--,10451,--
386,士林區,天和里,--,--,--,--,3863
