,district,village,population_2011,population_2012,population_2013,population_2014,population_2015
122,大安區,龍陣里,3659.0,3675.0,3672.0,3700.0,3700.0
123,大安區,龍淵里,10141.0,10288.0,10400.0,10363.0,10363.0
124,大安區,龍雲里,5209.0,5238.0,5164.0,5132.0,5132.0
125,大安區,龍圖里,7054.0,7049.0,7102.0,7116.0,7116.0
126,大安區,臨江里,4346.0,4314.0,4307.0,4323.0,4323.0
127,中山區,力行里,5816.0,5897.0,5950.0,6076.0,6076.0
128,中山區,下埤里,7698.0,7799.0,7837.0,7888.0,7888.0
129,中山區,大佳里,1152.0,1143.0,1132.0,1135.0,1135.0
130,中山區,大直里,10326.0,10340.0,10319.0,10316.0,10316.0
131,中山區,中山里,5918.0,6142.0,6264.0,6424.0,6424.0
132,中山區,中央里,3848.0,3872.0,3868.0,3851.0,3851.0
133,中山區,中吉里,5812.0,5797.0,5846.0,5831.0,5831.0
134,中山區,中原里,5047.0,5089.0,5097.0,5128.0,5128.0
135,中山區,中庄里,5167.0,5129.0,5201.0,5251.0,5251.0
136,中山區,北安里,2855.0,2846.0,2843.0,2889.0,2889.0
137,中山區,正守里,3178.0,3209.0,3239.0,3300.0,3300.0
138,中山區,正得里,3593.0,3682.0,3745.0,3789.0,3789.0
139,中山區,正義里,4994.0,5250.0,5335.0,5368.0,5368.0
140,中山區,民安里,4918.0,4847.0,4815.0,4841.0,4841.0
141,中山區,永安里,9912.0,9926.0,10028.0,10081.0,10081.0
142,中山區,成功里,6693.0,6912.0,7060.0,7102.0,7102.0
143,中山區,朱崙里,2982.0,2942.0,2983.0,2994.0,2994.0
144,中山區,朱園里,4394.0,4531.0,4602.0,4691.0,4691.0
145,中山區,朱馥里,6272.0,6261.0,6235.0,6223.0,6223.0
146,中山區,江山里,7666.0,7743.0,7786.0,7832.0,7832.0
147,中山區,江寧里,6761.0,6970.0,7055.0,7120.0,7120.0
148,中山區,行仁里,8397.0,8402.0,8468.0,8484.0,8484.0
149,中山區,行孝里,4158.0,4179.0,4218.0,4198.0,4198.0
150,中山區,行政里,7718.0,7685.0,7695.0,7730.0,7730.0
151,中山區,松江里,6760.0,6828.0,6879.0,6959.0,6959.0
152,中山區,金泰里,7563.0,7619.0,7709.0,7801.0,7801.0
153,中山區,恆安里,4303.0,4449.0,4678.0,4834.0,4834.0
154,中山區,埤頭里,3579.0,3607.0,3607.0,3541.0,3541.0
155,中山區,康樂里,2484.0,2575.0,2668.0,2684.0,2684.0
156,中山區,復華里,4724.0,4806.0,4833.0,4864.0,4864.0
157,中山區,晴光里,5122.0,5234.0,5351.0,5432.0,5432.0
158,中山區,集英里,7243.0,7343.0,7385.0,7454.0,7454.0
159,中山區,圓山里,4210.0,4331.0,4420.0,4451.0,4451.0
160,中山區,新生里,5022.0,5063.0,5083.0,5175.0,5175.0
161,中山區,新喜里,5460.0,5516.0,5524.0,5564.0,5564.0
162,中山區,新福里,5190.0,5196.0,5193.0,5233.0,5233.0
163,中山區,新庄里,5061.0,5086.0,5173.0,5231.0,5231.0
164,中山區,聚盛里,3916.0,4051.0,4168.0,4236.0,4236.0
165,中山區,聚葉里,3835.0,3914.0,3927.0,3980.0,3980.0
166,中山區,劍潭里,3892.0,3888.0,3895.0,3899.0,3899.0
167,中山區,興亞里,5268.0,5331.0,5424.0,5404.0,5404.0
168,中山區,龍洲里,5195.0,5229.0,5215.0,5212.0,5212.0
169,中正區,三愛里,8650.0,8694.0,8725.0,8861.0,8861.0
170,中正區,文北里,5689.0,5749.0,5751.0,5764.0,5764.0
171,中正區,文盛里,2725.0,2735.0,2741.0,2754.0,2754.0
172,中正區,文祥里,8574.0,8493.0,8496.0,8523.0,8523.0
173,中正區,水源里,3131.0,3154.0,3097.0,3079.0,3079.0
174,中正區,永功里,6653.0,6750.0,6771.0,6776.0,6776.0
175,中正區,永昌里,5159.0,5182.0,5244.0,5242.0,5242.0
176,中正區,光復里,4173.0,4162.0,4165.0,4234.0,4234.0
177,中正區,幸市里,4533.0,4586.0,4612.0,4689.0,4689.0
178,中正區,幸福里,4893.0,4937.0,4965.0,4976.0,4976.0
179,中正區,忠勤里,6948.0,6984.0,7025.0,6983.0,6983.0
180,中正區,東門里,4607.0,4573.0,4595.0,4505.0,4505.0
181,中正區,林興里,4818.0,4707.0,4963.0,4965.0,4965.0
182,中正區,板溪里,3418.0,3459.0,3460.0,3492.0,3492.0
183,中正區,河堤里,4478.0,4507.0,4645.0,4731.0,4731.0
184,中正區,南門里,3118.0,3126.0,3072.0,3036.0,3036.0
185,中正區,南福里,10828.0,10954.0,11064.0,11153.0,11153.0
186,中正區,建國里,1638.0,1629.0,1708.0,1732.0,1732.0
