year,district,village,total_2012
101,萬華區,榮德里,3872.00 
101,萬華區,福星里,5579.00 
101,萬華區,福音里,3718.00 
101,萬華區,綠堤里,4743.00 
101,萬華區,銘德里,4911.00 
101,萬華區,糖?里,5764.00 
101,萬華區,興德里,5094.00 
101,萬華區,錦德里,5710.00 
101,萬華區,雙園里,5002.00 
101,萬華區,騰雲里,3124.00 
101,文山區,木柵里,8957.00 
101,文山區,木新里,10221.00 
101,文山區,老泉里,977.00 
101,文山區,忠順里,3910.00 
101,文山區,明義里,4882.00 
101,文山區,明興里,7153.00 
101,文山區,指南里,3560.00 
101,文山區,政大里,7225.00 
101,文山區,博嘉里,5578.00 
101,文山區,景仁里,4983.00 
101,文山區,景行里,7140.00 
101,文山區,景東里,7744.00 
101,文山區,景美里,5415.00 
101,文山區,景華里,6268.00 
101,文山區,景慶里,7160.00 
101,文山區,華興里,9033.00 
101,文山區,順興里,7774.00 
101,文山區,萬年里,5569.00 
101,文山區,萬有里,5686.00 
101,文山區,萬和里,3263.00 
101,文山區,萬芳里,8236.00 
101,文山區,萬美里,7342.00 
101,文山區,萬盛里,4795.00 
101,文山區,萬祥里,4967.00 
101,文山區,萬隆里,7798.00 
101,文山區,萬興里,8606.00 
101,文山區,試院里,7152.00 
101,文山區,樟文里,6596.00 
101,文山區,樟林里,8855.00 
101,文山區,樟新里,6046.00 
101,文山區,樟腳里,5886.00 
101,文山區,樟樹里,5091.00 
101,文山區,興光里,3614.00 
101,文山區,興安里,6803.00 
101,文山區,興邦里,4672.00 
101,文山區,興旺里,8251.00 
101,文山區,興昌里,7001.00 
101,文山區,興家里,7862.00 
101,文山區,興泰里,3966.00 
101,文山區,興得里,6355.00 
101,文山區,興業里,5574.00 
101,文山區,興福里,6408.00 
101,文山區,興豐里,4936.00 
101,南港區,九如里,6682.00 
101,南港區,三重里,5423.00 
101,南港區,中南里,4129.00 
101,南港區,中研里,9475.00 
101,南港區,仁福里,5847.00 
101,南港區,玉成里,5167.00 
101,南港區,合成里,7240.00 
101,南港區,成福里,7560.00 
101,南港區,百福里,5437.00 
101,南港區,西新里,4978.00 
101,南港區,東明里,5694.00 
101,南港區,東新里,7395.00 
101,南港區,南港里,6711.00 
101,南港區,重陽里,4354.00 
101,南港區,新光里,3944.00 
101,南港區,新富里,4254.00 
101,南港區,萬福里,4289.00 
101,南港區,聯成里,5411.00 
101,南港區,鴻福里,4772.00 
101,南港區,舊莊里,9728.00 
