年,行政區,里別,total_2013
102,內湖區,湖濱里,8529.00 
102,內湖區,紫星里,8249.00 
102,內湖區,紫陽里,8218.00 
102,內湖區,紫雲里,6130.00 
102,內湖區,週美里,7325.00 
102,內湖區,瑞光里,4833.00 
102,內湖區,瑞陽里,8164.00 
102,內湖區,葫洲里,7720.00 
102,內湖區,碧山里,7319.00 
102,內湖區,樂康里,9187.00 
102,內湖區,麗山里,6167.00 
102,內湖區,寶湖里,8195.00 
102,內湖區,蘆洲里,1316.00 
102,士林區,三玉里,6082.00 
102,士林區,仁勇里,4339.00 
102,士林區,公館里,1469.00 
102,士林區,天山里,7512.00 
102,士林區,天母里,7084.00 
102,士林區,天玉里,9312.00 
102,士林區,天和里,8185.00 
102,士林區,天祿里,5397.00 
102,士林區,天壽里,5276.00 
102,士林區,天福里,6728.00 
102,士林區,平等里,1523.00 
102,士林區,永倫里,7605.00 
102,士林區,永福里,1361.00 
102,士林區,名山里,7532.00 
102,士林區,百齡里,7739.00 
102,士林區,岩山里,3709.00 
102,士林區,忠誠里,6000.00 
102,士林區,承德里,5967.00 
102,士林區,明勝里,5167.00 
102,士林區,東山里,5556.00 
102,士林區,社子里,6836.00 
102,士林區,社園里,7859.00 
102,士林區,社新里,9221.00 
102,士林區,芝山里,7945.00 
102,士林區,前港里,4849.00 
102,士林區,後港里,8562.00 
102,士林區,富光里,6297.00 
102,士林區,富洲里,5802.00 
102,士林區,菁山里,1720.00 
102,士林區,陽明里,3164.00 
102,士林區,新安里,2125.00 
102,士林區,溪山里,1496.00 
102,士林區,義信里,3466.00 
102,士林區,聖山里,5367.00 
102,士林區,葫東里,4182.00 
102,士林區,葫蘆里,7985.00 
102,士林區,福中里,7389.00 
102,士林區,福安里,5006.00 
102,士林區,福志里,7954.00 
102,士林區,福佳里,8286.00 
102,士林區,福林里,3250.00 
102,士林區,福華里,7072.00 
102,士林區,福順里,5549.00 
102,士林區,福德里,6128.00 
102,士林區,翠山里,2802.00 
102,士林區,德行里,4604.00 
102,士林區,德華里,5956.00 
102,士林區,臨溪里,3071.00 
102,士林區,舊佳里,6384.00 
102,士林區,蘭雅里,9012.00 
102,士林區,蘭興里,6860.00 
102,北投區,一德里,7361.00 
102,北投區,八仙里,5700.00 
102,北投區,大屯里,1260.00 
102,北投區,大同里,6297.00 
102,北投區,中心里,6539.00 
102,北投區,中央里,9217.00 
102,北投區,中和里,5270.00 
102,北投區,中庸里,4614.00 
102,北投區,文化里,4560.00 
102,北投區,文林里,4448.00 
102,北投區,永和里,9438.00 
102,北投區,永明里,5322.00 
102,北投區,永欣里,8122.00 
102,北投區,石牌里,5709.00 
102,北投區,立農里,9710.00 
102,北投區,立賢里,5936.00 
102,北投區,吉利里,7511.00 
102,北投區,吉慶里,5729.00 
102,北投區,秀山里,3484.00 
102,北投區,奇岩里,9878.00 
102,北投區,東華里,4849.00 
102,北投區,林泉里,3498.00 
102,北投區,長安里,6345.00 
102,北投區,建民里,4220.00 
102,北投區,泉源里,2557.00 
102,北投區,洲美里,2211.00 
102,北投區,振華里,8148.00 
102,北投區,桃源里,6128.00 
102,北投區,清江里,9789.00 
102,北投區,尊賢里,5132.00 
102,北投區,智仁里,6585.00 
102,北投區,湖山里,1815.00 
102,北投區,湖田里,1014.00 
102,北投區,開明里,6727.00 
102,北投區,溫泉里,7030.00 
102,北投區,裕民里,7949.00 
102,北投區,榮光里,8078.00 
102,北投區,榮華里,7931.00 
102,北投區,福興里,7646.00 
102,北投區,稻香里,5224.00 
102,北投區,豐年里,4892.00 
102,北投區,關渡里,11571.00 
