,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014
261,文山區,興豐里,1719227,1716559,1848353,1875785
262,文山區,興旺里,1056235,2669036,2858493,2747097
263,文山區,興昌里,2272289,2266744,2406035,2374133
264,文山區,萬盛里,1910795,1896966,1998167,2007162
265,文山區,興得里,1823830,1754425,1974079,1907605
266,文山區,興福里,1739587,1666997,1828117,1809955
267,文山區,萬祥里,1641293,1659014,1732120,1687118
268,文山區,景東里,1978917,1977215,2026894,1979821
269,文山區,興光里,973333,933883,1055549,978785
270,文山區,興安里,2466906,2338105,2507530,2423211
271,文山區,忠順里,2607,29946,--,--
272,文山區,老泉里,--,565,618,561
273,文山區,順興里,61,4863,71,83
274,文山區,樟林里,--,--,--,1940
275,文山區,樟新里,--,--,--,--
276,文山區,樟腳里,--,24160,16480,--
277,文山區,萬芳里,--,8440,12000,11813
278,文山區,博嘉里,--,6178,2394,--
279,文山區,萬興里,--,17080,34120,--
280,文山區,指南里,92,--,--,--
281,文山區,試院里,--,--,5854,--
282,文山區,明興里,--,2478,4177,--
283,文山區,木柵里,--,--,--,6640
284,文山區,木新里,--,5600,4720,975
285,文山區,萬美里,44,--,--,--
286,文山區,政大里,--,--,4921,--
287,文山區,樟文里,--,2400,8262,17320
288,文山區,興邦里,498947,1685825,1773234,1765958
289,文山區,樟樹里,--,--,3055,2501
290,文山區,興家里,633,2732,772,1697
291,文山區,明義里,93,98,94,--
292,文山區,華興里,141,86,92,40
293,文山區,興泰里,1589388,1598439,1691131,1639252
294,文山區,萬有里,1719089,1702188,1838780,1787580
295,文山區,景仁里,1626284,1552114,1299100,1475394
296,文山區,興業里,2146503,2033210,2193647,2092983
297,文山區,萬年里,2039450,7795,1631997,1605374
298,文山區,景華里,1823464,1788127,1962216,1904803
299,文山區,萬隆里,2132976,472101,1824729,2087316
300,文山區,景行里,2619116,2426537,2658005,2603632
301,文山區,萬和里,675907,856,1187319,1190809
302,文山區,景慶里,2084448,1960723,1435528,1383269
303,文山區,景美里,1891222,1764200,1306497,1260365
304,南港區,玉成里,394,--,7601,9200
305,南港區,合成里,758,14680,13680,--
306,南港區,東明里,--,--,--,438
307,南港區,西新里,--,--,--,--
308,南港區,南港里,229,3600,106791,983671
309,南港區,三重里,--,--,4063,--
310,南港區,東新里,--,--,1120,--
311,南港區,萬福里,--,5120,--,--
312,南港區,鴻福里,--,--,--,--
313,南港區,百福里,--,--,--,--
314,南港區,聯成里,--,--,21360,--
315,南港區,仁福里,--,--,--,356
316,南港區,重陽里,--,--,--,--
317,南港區,成福里,301810,168,175621,182611
318,南港區,九如里,1985977,1780927,1890095,1910655
319,南港區,新光里,1507680,75340,1367864,1385646
320,南港區,中南里,1105978,1003039,995931,863205
321,南港區,新富里,1228197,1169729,1093127,1098284
322,南港區,中研里,2874836,2213381,2269245,2216401
323,南港區,舊莊里,2261311,2189318,2383650,2311505
324,內湖區,湖興里,40,42,575576,529410
325,內湖區,金湖里,2315729,5099062,5462690,5278361
326,內湖區,葫洲里,2607098,2594036,3011454,2684454
327,內湖區,蘆洲里,335528,368231,388622,420120
328,內湖區,湖元里,--,--,31733,29984
329,內湖區,週美里,--,--,--,20320
330,內湖區,行善里,--,--,--,--
331,內湖區,麗山里,92,13200,6522,14917
332,內湖區,寶湖里,4365996,4257502,5043898,5033920
333,內湖區,南湖里,1974394,1946496,1965763,1726640
334,內湖區,紫陽里,--,--,--,--
335,內湖區,瑞陽里,--,7113,7024,--
336,內湖區,瑞光里,--,--,--,6560
337,內湖區,湖濱里,--,6929,6960,--
338,內湖區,西湖里,--,20743,23376,57230
339,內湖區,西康里,--,--,7868,7013
340,內湖區,西安里,--,1829,--,--
341,內湖區,港墘里,--,--,--,66800
342,內湖區,港都里,--,--,--,--
343,內湖區,港富里,105,--,--,--
344,內湖區,港華里,--,--,16840,190
345,內湖區,內湖里,2893,8886,12216,7403
346,內湖區,金瑞里,1158856,1087417,1199738,1178933
347,內湖區,碧山里,2221683,2088288,2184890,2156116
348,內湖區,石潭里,512782,522007,670199,683446
349,內湖區,秀湖里,2334895,2930055,2962932,2153046
350,內湖區,大湖里,2402586,2331857,2394882,2507628
351,內湖區,明湖里,1764074,1668567,1779652,1609108
352,內湖區,清白里,3694796,3619204,3921506,3727952
353,內湖區,紫雲里,2066462,2021778,2198260,1874466
354,內湖區,樂康里,2493108,2398248,2389552,2177175
355,內湖區,安泰里,1374378,1440248,1232871,1427085
356,內湖區,安湖里,2485998,2411746,2417165,2114306
357,內湖區,內溝里,1346127,166061,1381049,1268834
358,內湖區,金龍里,1816465,1685144,1815971,1467483
359,內湖區,康寧里,2766088,2567480,2766791,3373564
360,內湖區,五分里,3309077,3093330,3349458,2847324
361,內湖區,東湖里,2672095,2563910,2474574,2245054
362,內湖區,紫星里,3153193,2970810,3291040,2655451
363,士林區,新安里,441596,990743,941616,970901
364,士林區,永福里,288671,815372,778627,744081
365,士林區,天母里,3614876,3698745,3962260,4122303
366,士林區,天玉里,4560807,4476512,4718712,4630703
367,士林區,公館里,484961,634430,530566,594933
368,士林區,岩山里,1220236,--,1199884,1243718
369,士林區,菁山里,198082,230823,211127,253893
370,士林區,陽明里,875155,945128,856701,847665
371,士林區,仁勇里,1645,1659,1390,12189
372,士林區,義信里,--,--,20777,20654
373,士林區,福林里,--,5520,3490,3320
374,士林區,福德里,--,92,51318,57292
375,士林區,福志里,--,--,17909,21945
376,士林區,舊佳里,--,--,--,1160
377,士林區,福佳里,--,6504,6694,9475
378,士林區,後港里,--,207,--,--
379,士林區,福中里,--,--,--,--
380,士林區,前港里,608,--,2520,--
381,士林區,百齡里,--,--,--,1
382,士林區,承德里,--,7619,8147,22680
383,士林區,福華里,--,--,--,42291
384,士林區,明勝里,--,9941,--,118
385,士林區,福順里,--,--,--,--
386,士林區,富光里,--,--,--,28240
387,士林區,葫蘆里,--,9007,--,2800
388,士林區,葫東里,--,--,--,--
389,士林區,社子里,--,--,1478,--
390,士林區,社新里,--,--,--,--
391,士林區,社園里,--,3775,4473,--
392,士林區,永倫里,--,--,7720,--
393,士林區,福安里,814,--,--,96
394,士林區,富洲里,--,--,--,--
395,士林區,翠山里,--,--,--,--
396,士林區,臨溪里,72,9440,10040,7036
397,士林區,溪山里,460,441,256,208
398,士林區,德行里,1906169,1935432,2040203,1964742
399,士林區,天和里,3246929,3060632,3304475,3145957
400,士林區,平等里,477046,506731,422794,440684
401,士林區,忠誠里,2390787,--,2417058,2575173
402,士林區,天壽里,3137820,3043659,3306831,3155918
403,士林區,東山里,2426475,2321885,2247450,2198811
404,士林區,蘭雅里,3874200,2977334,3964757,3924088
405,士林區,德華里,2446933,2388491,2433581,2317047
406,士林區,蘭興里,3047280,2974408,3169568,2978911
407,士林區,三玉里,2747340,413506,2876485,2871797
408,士林區,聖山里,1980644,40,1975158,2050256
409,士林區,天山里,3731054,3471857,3777577,3594813
410,士林區,芝山里,3333578,3181055,3338549,3278023
411,士林區,名山里,2902474,86,2701892,2688387
412,士林區,天祿里,2656670,2512623,2622646,2527746
413,士林區,天福里,3083534,2795357,3023897,2925528
414,北投區,吉慶里,11256,1768521,1866645,1807928
415,北投區,永欣里,1891318,3110745,3371908,3117239
416,北投區,永和里,3131678,3975439,4318010,4056844
417,北投區,尊賢里,612598,1398884,1494861,1584243
418,北投區,吉利里,1461993,1902011,2040279,2125635
419,北投區,永明里,1741842,1743972,1876542,1905208
420,北投區,裕民里,3073689,3056312,3297283,3386221
