,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014
106,大安區,住安里,682822,638967,700357,754455
107,大安區,永康里,99126,113198,127661,117229
108,大安區,群賢里,733738,699334,785615,699867
109,大安區,車層里,3569899,3443605,3587285,3156767
110,大安區,龍門里,1615719,1497533,1618691,1485425
111,大安區,錦泰里,974654,923950,1010959,930468
112,大安區,全安里,2341462,2083160,2351972,2137613
113,大安區,龍泉里,1828804,1731223,1792315,1680165
114,大安區,錦安里,1284624,1197511,1298247,1230833
115,大安區,臨江里,1788648,1622935,1791537,1642636
116,大安區,錦華里,1660506,1621966,1691215,1569119
117,大安區,建倫里,3717914,3457496,3634966,3513407
118,大安區,光武里,4316234,4044527,4260537,3878302
119,大安區,龍淵里,2702322,2500281,2662076,2404883
120,大安區,龍陣里,1517747,1384462,1534444,1388308
121,大安區,古莊里,3117597,2807127,2985188,2752944
122,大安區,新龍里,2013389,1802458,1997057,1757190
123,大安區,龍生里,2159758,1981063,2205518,2012932
124,大安區,福住里,2147663,1972422,2212550,1941985
125,大安區,龍圖里,2658364,2511954,2701785,2516349
126,大安區,建安里,3151078,3000174,3154480,2893315
127,中山區,永安里,1356459,3923979,3584419,3928263
128,中山區,北安里,--,659945,260512,789621
129,中山區,成功里,3011764,4124483,4410290,4350387
130,中山區,正得里,21251,20927,4563,28501
131,中山區,下埤里,1450,--,19135,15195
132,中山區,圓山里,8134,1624,3711,17445
133,中山區,聚葉里,--,--,--,7160
134,中山區,新喜里,--,--,6960,--
135,中山區,新生里,--,11200,3512,5360
136,中山區,行仁里,--,--,10966,19672
137,中山區,行孝里,--,--,--,--
138,中山區,復華里,--,--,30600,25720
139,中山區,龍洲里,--,--,--,3388
140,中山區,朱園里,18,55796,32848,19641
141,中山區,興亞里,1338,909,12658,5894
142,中山區,集英里,54233,49636,97102,14442
143,中山區,行政里,21532,17248,62059,82640
144,中山區,大佳里,206178,2423,188452,189147
145,中山區,聚盛里,318099,369856,356596,302614
146,中山區,中央里,239809,1827,257488,248623
147,中山區,埤頭里,747787,896867,877512,763700
148,中山區,力行里,1374313,1319006,1464929,1330870
149,中山區,朱崙里,1628384,1520706,1592179,1522540
150,中山區,新福里,1068560,980254,1059869,1003896
151,中山區,康樂里,1611421,1511684,1643301,1522715
152,中山區,江寧里,1446982,--,1405884,1242556
153,中山區,正義里,3457393,3424802,3623874,3353003
154,中山區,中庄里,2231329,2096725,2262441,2108485
155,中山區,正守里,1430408,1386438,1485614,1398739
156,中山區,新庄里,1892064,1657005,1755072,1574795
157,中山區,晴光里,2880883,2655672,2940755,2660461
158,中山區,江山里,1848488,1268,1795233,1630112
159,中山區,朱馥里,1507610,1033,1506365,1331332
160,中山區,松江里,1449773,1330293,1480557,1321568
161,中山區,民安里,1670816,1336985,1506621,1363930
162,中山區,恆安里,2636214,2451745,2617804,2462230
163,中山區,中原里,2201332,692,2125218,1924800
164,中山區,中吉里,2509843,40,2431328,2234507
165,中山區,中山里,2904778,2677979,2942652,2664739
166,中山區,劍潭里,1237641,1174796,1183174,1186546
167,中山區,金泰里,4091215,3919945,4377171,3932571
168,中山區,大直里,3360264,3046659,2530301,3519221
169,中正區,螢圃里,736152,1408136,1578937,1438738
170,中正區,網溪里,265694,925792,1018697,912320
