,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014
290,文山區,景美里,1197381,1141289,822645,841572
291,文山區,景華里,1181539,1199859,1300589,1248719
292,文山區,興業里,1376793,1319866,1373319,1387210
293,文山區,萬有里,1151916,1128870,1218929,1123517
294,文山區,萬隆里,1410228,295865,1153525,1293047
295,文山區,萬和里,460819,532,804233,784200
296,文山區,興光里,730596,716849,732236,694295
297,文山區,興福里,1206193,1152296,1103352,1130573
298,文山區,興得里,1344028,1296947,1335658,1269449
299,文山區,景東里,1364774,1282411,1371993,1329896
300,文山區,興安里,1642098,1542535,1594344,1591203
301,文山區,興昌里,1642821,1592422,1630267,1533407
302,文山區,萬盛里,1499677,1376519,1404650,1366175
303,文山區,興泰里,1164989,1082611,1155741,1126648
304,南港區,玉成里,121,--,5916,6080
305,南港區,合成里,--,13240,11880,--
306,南港區,東明里,--,--,--,4647
307,南港區,西新里,--,--,--,--
308,南港區,南港里,--,3296,70660,663983
309,南港區,三重里,--,--,--,--
310,南港區,東新里,--,--,7560,202
311,南港區,萬福里,141,4600,--,--
312,南港區,鴻福里,--,--,--,--
313,南港區,百福里,--,--,--,65
314,南港區,聯成里,--,--,20240,--
315,南港區,仁福里,--,--,--,114
316,南港區,重陽里,--,--,--,--
317,南港區,九如里,1400228,1334736,1370282,1361985
318,南港區,中南里,750436,699569,665802,578574
319,南港區,成福里,214674,40,120452,117069
320,南港區,新光里,1001680,59175,881201,872557
321,南港區,新富里,804420,805890,727990,723976
322,南港區,中研里,1850729,1457943,1517658,1492996
323,南港區,舊莊里,1635446,1560913,1623645,1561825
324,內湖區,湖興里,42,41,368505,338883
325,內湖區,金湖里,1480139,3288658,3276600,3285712
326,內湖區,葫洲里,1930108,1858142,1997741,1718070
327,內湖區,碧山里,1466040,1497600,1505280,1482932
328,內湖區,金瑞里,746358,741823,794606,775785
329,內湖區,湖元里,--,--,29857,20393
330,內湖區,週美里,--,--,--,16440
331,內湖區,行善里,--,--,--,--
332,內湖區,麗山里,--,12480,5825,4634
333,內湖區,寶湖里,3064915,2936808,3249979,3175335
334,內湖區,南湖里,1469904,1361892,1299997,1116585
335,內湖區,紫陽里,--,--,--,--
336,內湖區,瑞陽里,--,5807,5937,--
337,內湖區,瑞光里,--,--,--,--
338,內湖區,湖濱里,--,5870,5920,--
339,內湖區,西湖里,--,12285,10515,46445
340,內湖區,西康里,67,--,7422,--
341,內湖區,西安里,--,1630,--,--
342,內湖區,港墘里,116,--,--,53160
343,內湖區,港都里,17,--,--,--
344,內湖區,港富里,--,--,--,--
345,內湖區,港華里,--,--,17520,--
346,內湖區,內湖里,3108,6557,11189,5455
347,內湖區,秀湖里,1517473,1954816,1978926,1485979
348,內湖區,蘆洲里,260351,276860,272137,281409
349,內湖區,大湖里,1571450,1578660,1599828,1724068
350,內湖區,明湖里,1080520,1055234,1070409,1056030
351,內湖區,石潭里,382404,378129,467043,453404
352,內湖區,樂康里,1626631,1565710,1554640,1350006
353,內湖區,內溝里,965834,133632,1038427,872315
354,內湖區,金龍里,1142485,1165657,1189092,983625
355,內湖區,安泰里,1019785,1036783,920388,996171
356,內湖區,康寧里,1756425,1688036,1726455,2222680
357,內湖區,安湖里,1603364,1517317,1593138,1381424
358,內湖區,五分里,2124483,2052315,2155570,1820922
359,內湖區,紫雲里,1407077,1335309,1382838,1162087
360,內湖區,東湖里,1736316,1620853,1593700,1465689
361,內湖區,清白里,2509072,2334753,2483483,2282430
362,內湖區,紫星里,2137012,2003647,2061702,1667822
363,士林區,新安里,435018,882642,856983,884626
364,士林區,永福里,248567,641289,614986,609011
365,士林區,東山里,1637406,1588871,1474258,1454501
366,士林區,公館里,461340,555976,490853,505973
367,士林區,天祿里,1574481,1574396,1550724,1654834
368,士林區,仁勇里,1383,1291,938,11956
369,士林區,義信里,--,--,31040,15954
370,士林區,福林里,--,152,--,2240
371,士林區,福德里,--,87,49338,51965
372,士林區,福志里,--,--,--,18791
373,士林區,舊佳里,--,--,--,840
374,士林區,福佳里,--,6514,4851,7962
375,士林區,後港里,--,225,--,--
376,士林區,福中里,--,--,--,--
377,士林區,前港里,--,--,--,--
378,士林區,百齡里,--,--,--,1996
379,士林區,承德里,--,--,6781,--
380,士林區,福華里,--,--,--,28450
381,士林區,明勝里,--,6203,--,125
382,士林區,福順里,--,--,--,--
383,士林區,富光里,--,--,--,21680
384,士林區,葫蘆里,102,--,--,2080
385,士林區,葫東里,--,--,--,--
386,士林區,社子里,--,--,729,234
387,士林區,社新里,--,--,--,--
388,士林區,社園里,--,--,3062,--
389,士林區,永倫里,--,--,6960,--
390,士林區,福安里,--,--,--,1
391,士林區,富洲里,--,--,--,--
392,士林區,翠山里,--,--,--,--
393,士林區,臨溪里,--,6720,9080,5752
394,士林區,溪山里,318,359,259,213
395,士林區,菁山里,204781,220856,207962,239772
396,士林區,天和里,2164987,2147098,2198290,2141998
397,士林區,岩山里,855807,--,800708,803596
398,士林區,忠誠里,1475626,--,1414174,1508921
399,士林區,天山里,2347190,2392734,2348807,2370299
400,士林區,天福里,1846771,1850121,1792580,1879428
